,0,1,2,3,4,5,6,7,8,9,10
88,-0.72358644,0.21787886,0.5610708,0.35511917,0.54998714,0.25800592,0.84674585,-0.4267283,0.1427058,-0.887249,0.53868836
89,-0.13850844,-0.06269846,-0.12178795,0.18638255,0.03173205,0.09570073,-0.020510135,-0.4012081,0.014526118,-0.02044519,-0.07961314
90,0.08193687,0.049392246,0.10360591,0.0040191426,-0.2055102,0.16410552,-0.27718693,-0.1490514,-0.10298059,-0.30612436,0.10808789
91,-0.49099416,0.01855063,0.06913423,-0.37130797,0.035814695,-0.07006808,0.41434544,0.22854461,0.1665402,-0.34847862,0.06968872
92,0.11758754,-0.36256185,-0.46470922,-0.14175974,-0.15797083,0.024768328,0.05168458,0.36363554,0.23772582,-0.00016051249,0.3368713
93,0.2843768,-0.22330858,-0.24022396,-0.07347429,-0.16447932,-0.07002302,-0.0636719,-0.049866468,-0.075881004,-0.09399277,-0.10235039
94,0.16812545,-0.10436139,-0.39051458,-0.17064212,-0.22118416,-0.06138337,0.171638,0.07313441,0.17803068,0.2562309,-0.09939672
95,0.4686759,0.28230134,0.16258726,0.095041595,-0.24203068,-0.42821568,-0.40914318,-0.23416784,0.34794587,0.013512363,-0.03281431
96,0.2798052,-0.28808472,-0.5008577,-0.11845959,-0.31399533,-0.38363853,0.04074242,-0.099710174,-0.05334775,-0.3995589,0.0031644115
97,0.62882817,0.67736185,-0.1199926,0.17890505,-0.5514375,0.27831006,-0.44126233,0.44904578,0.4346579,-0.09030891,0.07157684
